cl_kmeans	Sample
7	SRR627630
7	SRR627631
7	SRR627632
7	SRR627633
7	SRR627634
7	SRR627635
7	SRR627636
7	SRR627637
7	SRR627638
7	SRR627639
7	SRR627640
7	SRR627641
7	SRR627642
7	SRR627643
7	SRR627644
7	SRR627645
7	SRR627646
7	SRR627647
7	SRR627648
7	SRR627649
7	SRR627650
7	SRR627651
7	SRR627652
7	SRR627653
7	SRR627654
7	SRR627655
7	SRR627656
7	SRR627657
7	SRR627658
7	SRR627659
7	SRR627660
7	SRR627661
7	SRR627662
7	SRR627663
7	SRR627664
7	SRR627665
7	SRR627666
7	SRR627667
7	SRR627668
7	SRR627669
7	SRR627670
7	SRR627671
7	SRR627672
7	SRR627673
7	SRR627674
7	SRR627675
7	SRR627676
7	SRR627677
7	SRR627678
7	SRR627680
7	SRR627681
7	SRR627682
7	SRR627683
7	SRR627684
7	SRR627686
7	SRR627687
7	SRR627688
6	SRR631035
4	SRR631047
4	SRR631048
4	SRR634969
4	SRR634970
4	SRR634971
4	SRR634972
4	SRR634973
4	SRR634974
9	SRR649737
9	SRR649738
9	SRR649739
9	SRR649740
9	SRR649741
9	SRR649742
9	SRR649743
9	SRR649744
9	SRR649745
9	SRR649746
9	SRR649747
4	SRR653555
4	SRR653556
4	SRR653557
4	SRR653558
4	SRR653559
4	SRR653560
4	SRR653562
4	SRR653564
4	SRR653565
4	SRR653567
4	SRR653569
4	SRR653571
4	SRR653573
4	SRR653574
4	SRR653575
4	SRR653576
4	SRR653578
4	SRR653579
4	SRR653580
4	SRR653581
4	SRR653583
4	SRR653584
4	SRR653587
4	SRR653589
4	SRR653592
4	SRR653595
4	SRR653596
6	SRR656215
9	SRR656216
12	SRR656217
5	SRR656218
6	SRR656219
9	SRR656220
12	SRR656221
5	SRR656222
9	SRR764885
9	SRR764886
9	SRR764887
4	SRR776583
4	SRR776584
4	SRR776585
4	SRR776586
4	SRR797194
4	SRR797230
4	SRR797231
4	SRR797240
4	SRR797241
11	SRR826283
11	SRR826412
4	SRR833246
12	SRR837534
12	SRR837535
12	SRR837536
3	SRR847501
3	SRR847502
9	SRR847503
9	SRR847504
9	SRR847505
9	SRR847506
4	SRR902025
4	SRR902026
4	SRR907283
4	SRR907284
4	SRR907286
4	SRR907287
4	SRR907307
4	SRR907308
11	SRR921311
11	SRR921312
11	SRR921313
11	SRR921314
11	SRR921315
11	SRR921316
9	SRR924656
9	SRR924658
9	SRR924659
9	SRR924660
9	SRR924661
9	SRR925686
6	SRR926197
6	SRR926200
6	SRR926211
2	SRR931758
2	SRR931759
2	SRR931760
2	SRR931761
2	SRR931762
2	SRR931763
2	SRR933556
11	SRR934391
11	SRR934392
9	SRR942022
9	SRR942023
9	SRR942024
9	SRR942025
2	SRR946018
2	SRR946019
2	SRR946020
2	SRR946021
11	SRR953028
11	SRR953029
11	SRR953033
11	SRR953034
11	SRR953370
12	SRR953399
11	SRR953400
5	SRR953401
11	SRR970149
9	SRR971148
9	SRR975488
9	SRR976160
9	SRR976391
9	SRR976394
9	SRR976397
9	SRR976398
9	SRR978410
9	SRR988010
9	SRR988011
9	SRR988012
9	SRR988013
9	SRR988015
9	SRR988016
9	SRR988017
9	SRR988018
9	SRR988019
9	SRR988020
9	SRR988021
9	SRR988022
11	SRR988549
11	SRR988550
